_EventID_,_Latitude_,_Longitude_,_DepthMeters_,_Contributor_,_MagType_,_Magnitude_,_EventLocationName_,_Time_,ts,potential_blast,bix_potential_blasts
4369806,37.4134,-82.0147,12400,ANF,ML,2.1,WEST VIRGINIA,2013-06-07T17:29:14,2013/06/07 13:29:14-04,1,1
4369854,38.0008,-81.4432,6100,ANF,ML,2.5,WEST VIRGINIA,2013-06-12T14:40:49,2013/06/12 10:40:49-04,1,1
4820664,40.1796,-80.9342,13900,ANF,ML,2.4,PENNSYLVANIA,2014-07-14T18:06:05,2014/07/14 14:06:05-04,1,1
4815794,40.2494,-75.7027,4600,ANF,ML,1.8,PENNSYLVANIA,2014-06-30T14:56:30,2014/06/30 10:56:30-04,1,1
4820698,41.4693,-77.3721,5700,ANF,ML,2.3,PENNSYLVANIA,2014-07-17T17:28:54,2014/07/17 13:28:54-04,1,1
4820762,38.0369,-81.495,14600,ANF,ML,2.4,WEST VIRGINIA,2014-07-23T21:33:08,2014/07/23 17:33:08-04,1,1
4369869,38.7096,-80.8265,16500,ANF,ML,2.3,WEST VIRGINIA,2013-06-13T00:19:50,2013/06/12 20:19:50-04,0,0
4369870,38.7099,-80.8314,14300,ANF,ML,2.7,WEST VIRGINIA,2013-06-13T00:22:31,2013/06/12 20:22:31-04,0,0
4372702,38.8285,-80.9408,13000,ANF,ML,1.9,WEST VIRGINIA,2013-07-29T05:52:21,2013/07/29 01:52:21-04,0,0
4369143,37.8447,-81.5673,4900,ANF,ML,2.4,WEST VIRGINIA,2013-05-06T19:17:44,2013/05/06 15:17:44-04,1,1
4369182,40.2116,-80.9583,19100,ANF,ML,2.4,PENNSYLVANIA,2013-05-08T17:24:53,2013/05/08 13:24:53-04,1,1
4369198,39.7695,-79.7921,5700,ANF,ML,2,WEST VIRGINIA,2013-05-09T16:02:22,2013/05/09 12:02:22-04,1,1
4488497,40.6383,-78.1414,11700,ANF,ML,2.1,PENNSYLVANIA,2013-10-11T17:16:35,2013/10/11 13:16:35-04,1,1
4369228,40.163,-80.9441,12700,ANF,ML,2.5,PENNSYLVANIA,2013-05-10T17:58:45,2013/05/10 13:58:45-04,1,1
4310450,37.744,-82.0377,10300,ANF,ML,2.8,WEST VIRGINIA,2013-02-13T22:12:39,2013/02/13 17:12:39-05,1,1
4212956,37.666,-82.1755,2600,ANF,ML,2.4,WEST VIRGINIA,2012-07-18T16:02:33,2012/07/18 12:02:33-04,1,1
4212962,37.8134,-82.3088,8900,ANF,ML,2.5,WEST VIRGINIA,2012-07-18T20:00:46,2012/07/18 16:00:46-04,1,1
4374388,37.8255,-82.1351,1300,ANF,ML,2.7,WEST VIRGINIA,2013-09-24T21:16:41,2013/09/24 17:16:41-04,1,1
4371817,38.1152,-81.9661,1700,ANF,ML,2.7,WEST VIRGINIA,2013-08-03T19:24:54,2013/08/03 15:24:54-04,0,1
4813095,37.8952,-81.5934,4700,ANF,ML,2.7,WEST VIRGINIA,2014-04-26T17:28:55,2014/04/26 13:28:55-04,1,1
4372183,38.0021,-81.4393,1700,ANF,ML,2.4,WEST VIRGINIA,2013-08-24T17:26:00,2013/08/24 13:26:00-04,1,1
4223478,37.7111,-82.0313,22100,ANF,ML,2.8,WEST VIRGINIA,2013-01-18T17:37:57,2013/01/18 12:37:57-05,1,1
5109345,42.5081,-73.8546,10900,ANF,ML,2.1,NEW YORK,2014-12-01T20:01:42,2014/12/01 15:01:42-05,1,1
4488236,38.0733,-82.0011,9000,ANF,ML,2.6,WEST VIRGINIA,2013-11-27T14:35:44,2013/11/27 09:35:44-05,0,1
4310987,37.7425,-82.0543,10900,ANF,ML,2.6,WEST VIRGINIA,2013-04-18T17:22:22,2013/04/18 13:22:22-04,1,1
4311050,38.0226,-81.678,3300,ANF,ML,2.7,WEST VIRGINIA,2013-04-23T18:20:16,2013/04/23 14:20:16-04,1,1
4311051,39.6929,-80.0512,9000,ANF,ML,2,WEST VIRGINIA,2013-04-23T18:33:10,2013/04/23 14:33:10-04,1,1
4374373,43.7442,-75.4441,13700,ANF,ML,1.9,NEW YORK,2013-09-24T14:33:32,2013/09/24 10:33:32-04,0,1
4374430,41.478,-77.3833,5200,ANF,ML,2.7,PENNSYLVANIA,2013-09-27T17:22:03,2013/09/27 13:22:03-04,0,1
4374469,45.0867,-73.0972,7600,ANF,ML,1.9,"SOUTHERN QUEBEC, CANADA",2013-09-30T18:51:50,2013/09/30 14:51:50-04,0,1
4488341,41.4644,-77.3847,11400,ANF,ML,2.2,PENNSYLVANIA,2013-10-01T18:21:45,2013/10/01 14:21:45-04,0,1
4488376,41.4537,-77.4048,6800,ANF,ML,2.7,PENNSYLVANIA,2013-10-03T19:11:56,2013/10/03 15:11:56-04,0,1
5005482,37.4298,-82.0892,5300,ANF,ML,1.8,WEST VIRGINIA,2014-09-27T17:54:03,2014/09/27 13:54:03-04,1,1
5006103,37.8787,-81.3867,11700,ANF,ML,2,WEST VIRGINIA,2014-08-06T20:05:12,2014/08/06 16:05:12-04,1,1
5006110,43.2765,-75.1154,14500,ANF,ML,2,NEW YORK,2014-08-07T19:05:53,2014/08/07 15:05:53-04,1,1
5006124,42.5148,-73.8408,10000,ANF,ML,2,NEW YORK,2014-08-08T19:26:35,2014/08/08 15:26:35-04,1,1
4488387,41.4538,-77.4098,10900,ANF,ML,2.2,PENNSYLVANIA,2013-10-04T17:18:43,2013/10/04 13:18:43-04,0,1
4310533,38.0409,-81.665,10500,ANF,ML,2.5,WEST VIRGINIA,2013-02-20T21:26:35,2013/02/20 16:26:35-05,1,1
4488446,38.1574,-81.9813,11100,ANF,ML,2.4,WEST VIRGINIA,2013-10-08T18:42:06,2013/10/08 14:42:06-04,0,1
4487924,37.411,-81.9797,4100,ANF,ML,2.4,WEST VIRGINIA,2013-11-05T20:37:23,2013/11/05 15:37:23-05,0,1
4487928,38.1241,-81.9924,6400,ANF,ML,2.9,WEST VIRGINIA,2013-11-05T21:25:04,2013/11/05 16:25:04-05,0,1
4212916,38.0963,-82.0283,2700,ANF,ML,2.5,WEST VIRGINIA,2012-07-12T15:40:59,2012/07/12 11:40:59-04,0,1
4488017,37.7564,-82.1644,12000,ANF,ML,2.4,WEST VIRGINIA,2013-11-12T19:25:21,2013/11/12 14:25:21-05,1,1
4488101,38.0918,-81.6627,12000,ANF,ML,2.5,WEST VIRGINIA,2013-11-18T17:05:45,2013/11/18 12:05:45-05,1,1
4488110,41.457,-77.3775,6500,ANF,ML,2.6,PENNSYLVANIA,2013-11-19T16:45:24,2013/11/19 11:45:24-05,1,1
4488020,41.1279,-80.7118,7700,ANF,ML,2.1,OHIO,2013-11-12T20:12:00,2013/11/12 15:12:00-05,0,1
4767725,38.4719,-80.5791,9000,ANF,ML,2.2,WEST VIRGINIA,2014-02-06T21:07:18,2014/02/06 16:07:18-05,1,1
5005435,37.7866,-82.1184,12000,ANF,ML,2.4,WEST VIRGINIA,2014-09-22T11:21:55,2014/09/22 07:21:55-04,1,1
5005264,40.5528,-76.8171,16500,ANF,ML,1.7,PENNSYLVANIA,2014-09-08T15:01:13,2014/09/08 11:01:13-04,0,1
4599573,37.896,-81.2386,4100,ANF,ML,2.2,WEST VIRGINIA,2013-12-26T21:39:40,2013/12/26 16:39:40-05,1,1
4599597,43.7436,-74.0969,15100,ANF,ML,1.7,NEW YORK,2013-12-30T19:12:56,2013/12/30 14:12:56-05,1,1
4638291,37.6543,-82.1294,3700,ANF,ML,1.6,WEST VIRGINIA,2014-01-03T17:05:47,2014/01/03 12:05:47-05,1,1
5005460,37.8409,-82.1647,4700,ANF,ML,2.6,WEST VIRGINIA,2014-09-25T16:09:20,2014/09/25 12:09:20-04,1,1
5005511,38.0871,-81.3597,4100,ANF,ML,2.2,WEST VIRGINIA,2014-09-30T16:38:33,2014/09/30 12:38:33-04,1,1
4767864,37.7232,-82.0522,8900,ANF,ML,2,WEST VIRGINIA,2014-02-25T17:22:09,2014/02/25 12:22:09-05,1,1
4638419,38.035,-81.6997,10700,ANF,ML,2.1,WEST VIRGINIA,2014-01-17T21:10:26,2014/01/17 16:10:26-05,1,1
4638457,37.8008,-82.1275,3400,ANF,ML,2.2,WEST VIRGINIA,2014-01-21T21:34:28,2014/01/21 16:34:28-05,1,1
4766637,40.6871,-78.4596,6900,ANF,ML,2.3,PENNSYLVANIA,2014-03-03T14:50:05,2014/03/03 09:50:05-05,1,1
usp0006k6r,43.744,-74.135,15500,NEIC,mblg,2.9,New York,1994-09-29T22:49:20.750Z,1994/09/29 18:49:20-04,0,0
usp0006u2q,40.1,-76.4,5000,NEIC,md,2.7,Pennsylvania,1995-03-11T21:10:16.030Z,1995/03/11 16:10:16-05,0,0
4767720,41.4683,-77.3619,13000,ANF,ML,2.3,PENNSYLVANIA,2014-02-06T18:47:35,2014/02/06 13:47:35-05,1,1
5110272,40.3976,-78.5318,6600,ANF,ML,1.9,PENNSYLVANIA,2014-11-06T18:19:26,2014/11/06 13:19:26-05,0,1
4808423,42.6489,-74.308,14900,ANF,ML,2.2,NEW YORK,2014-05-07T16:13:33,2014/05/07 12:13:33-04,1,1
4808442,40.1875,-80.952,13300,ANF,ML,2.2,PENNSYLVANIA,2014-05-08T19:42:08,2014/05/08 15:42:08-04,1,1
4808497,43.64,-73.8222,12200,ANF,ML,2.2,NEW YORK,2014-05-14T18:00:01,2014/05/14 14:00:01-04,1,1
4812995,37.7607,-81.9598,4400,ANF,ML,2.3,WEST VIRGINIA,2014-04-10T21:56:34,2014/04/10 17:56:34-04,1,1
4808371,37.7211,-82.149,4600,ANF,ML,2.6,WEST VIRGINIA,2014-05-01T20:48:31,2014/05/01 16:48:31-04,1,1
4808548,39.8461,-77.0324,11000,ANF,ML,1.5,VIRGINIA,2014-05-20T15:20:36,2014/05/20 11:20:36-04,1,1
4217660,37.9997,-81.3764,3900,ANF,ML,2.7,WEST VIRGINIA,2012-09-11T13:39:32,2012/09/11 09:39:32-04,1,1
4217664,38.1148,-81.6248,2100,ANF,ML,2.6,WEST VIRGINIA,2012-09-12T13:57:42,2012/09/12 09:57:42-04,1,1
4213863,37.7036,-82.3898,7000,ANF,ML,2.7,WEST VIRGINIA,2012-08-16T17:00:44,2012/08/16 13:00:44-04,1,1
4217585,37.463,-82.0132,9600,ANF,ML,2.6,WEST VIRGINIA,2012-09-04T20:26:01,2012/09/04 16:26:01-04,1,1
5110288,38.0388,-81.6697,1800,ANF,ML,2.1,WEST VIRGINIA,2014-11-07T18:53:30,2014/11/07 13:53:30-05,1,1
